#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.999794    0.000174085     9.2766e-06    1.00554e-05
0              1       0.999513     0.00022388     7.5233e-06    2.11177e-05
0              2       0.999436    0.000142464   -2.04738e-06    7.92961e-06
0              3       0.999509    0.000230313    -3.7404e-06    4.11915e-05
0              4       0.999425     0.00026597    5.25516e-06    2.41641e-05
0              5       0.998911    0.000430124    1.78868e-05     2.1596e-05
0              6       0.999353     0.00021152    3.36698e-06    2.84792e-05
0              7       0.999494    0.000114985   -2.73233e-06    1.46751e-05
0              8         0.9997    4.15791e-05   -2.69584e-06    2.28025e-05
0              9       0.999613    9.84116e-05    2.09799e-05    2.30415e-05
0             10       0.999712    3.49949e-05    1.53391e-06    1.29744e-05
0             11       0.999643    4.79027e-05   -3.24877e-06    2.74793e-05
0             12        0.99952    0.000331999   -3.71537e-07    3.14261e-06
0             13       0.999121    0.000317146   -5.08921e-06    1.53493e-05
0             14       0.999474    8.19453e-05    1.51896e-06    1.28479e-05
0             15        0.99972    5.69944e-05    7.63546e-07    6.45837e-06

1              0       0.999513     0.00022388     7.5233e-06    2.11177e-05
1              1       0.999621    0.000225582    2.66913e-05    3.36238e-05
1              2       0.999636    0.000164085   -1.17432e-05    9.08357e-06
1              3       0.999418    0.000298609    3.14732e-05    5.91388e-05
1              4       0.999253    0.000273249    2.69769e-05    2.94576e-05
1              5       0.999086    0.000187138    3.72767e-05    3.91663e-05
1              6       0.999549     0.00018291    3.99126e-05    2.78076e-05
1              7       0.999282    0.000135138   -2.32823e-05    1.44368e-05
1              8       0.999523    8.37279e-05   -3.19568e-05    2.22647e-05
1              9       0.999472    0.000102571    3.39934e-05    3.95923e-05
1             10       0.999633      0.0001028    1.81831e-05    1.26684e-05
1             11       0.999382    7.15631e-05   -3.85113e-05    2.68313e-05
1             12       0.999629     0.00021534   -4.40425e-06    3.06849e-06
1             13       0.999427    0.000266272   -1.20682e-06    3.36979e-05
1             14       0.999456    0.000146228    1.80059e-05    1.25449e-05
1             15       0.999448     5.8375e-05    9.05117e-06    6.30606e-06

2              0       0.999436    0.000142464   -2.04738e-06    7.92961e-06
2              1       0.999636    0.000164085   -1.17432e-05    9.08357e-06
2              2       0.999907    1.56953e-05    7.33375e-06    2.71898e-06
2              3       0.999371    0.000233389   -1.06613e-05    2.77355e-05
2              4       0.999382    0.000125691   -1.56596e-05    1.12533e-05
2              5       0.999363    0.000277595   -2.16005e-05    1.70317e-05
2              6       0.999674    5.18794e-05   -2.42345e-05    7.92795e-06
2              7       0.999182    0.000315564    1.51517e-05    8.05085e-06
2              8       0.999529    0.000122639    1.94038e-05    6.34767e-06
2              9       0.999432     0.00011903   -1.68036e-05    2.18121e-05
2             10       0.999705    5.96954e-05   -1.10406e-05    3.61176e-06
2             11       0.999334    0.000175308    2.33836e-05     7.6496e-06
2             12       0.999605    4.92244e-05    2.67421e-06    8.74828e-07
2             13       0.999471    7.99021e-05     7.3215e-06     2.3852e-05
2             14       0.999639    1.37563e-05    -1.0933e-05    3.57656e-06
2             15       0.999371    0.000193423   -5.49576e-06    1.79786e-06

3              0       0.999509    0.000230313    -3.7404e-06    4.11915e-05
3              1       0.999418    0.000298609    3.14732e-05    5.91388e-05
3              2       0.999371    0.000233389   -1.06613e-05    2.77355e-05
3              3       0.999454    0.000307683    0.000129069    7.27714e-05
3              4       0.999171    0.000251411    3.46633e-05     8.4376e-05
3              5       0.998895    0.000447979     4.6754e-07    9.33006e-05
3              6       0.999346    0.000247812    4.90042e-05     9.5084e-05
3              7        0.99935    2.51622e-05   -1.77231e-05    5.70209e-05
3              8       0.999474    9.29923e-06   -3.92362e-05     7.6131e-05
3              9       0.999428    9.62583e-05   -2.26565e-05    0.000114575
3             10       0.999511    5.44747e-05     2.2325e-05    4.33177e-05
3             11       0.999393    3.17546e-05   -4.72837e-05    9.17457e-05
3             12       0.999577    0.000252734   -5.40748e-06    1.04923e-05
3             13       0.999293    0.000181933    6.90361e-05    2.25518e-05
3             14       0.999224    4.75645e-05    2.21074e-05    4.28955e-05
3             15       0.999487    2.67046e-05    1.11129e-05    2.15627e-05

4              0       0.999425     0.00026597    5.25516e-06    2.41641e-05
4              1       0.999253    0.000273249    2.69769e-05    2.94576e-05
4              2       0.999382    0.000125691   -1.56596e-05    1.12533e-05
4              3       0.999171    0.000251411    3.46633e-05     8.4376e-05
4              4       0.999468     0.00021396    5.53878e-05    3.67839e-05
4              5       0.998842    0.000365775    4.17424e-05    4.94298e-05
4              6       0.999172     0.00029457    4.89525e-05    5.01395e-05
4              7       0.999202    0.000289903   -3.22882e-05    3.60586e-05
4              8       0.999431    0.000214424   -3.91948e-05    4.01453e-05
4              9         0.9993    0.000219489      3.464e-05    6.80936e-05
4             10         0.9995    0.000189942    2.23014e-05    2.28422e-05
4             11       0.999328    0.000267577   -4.72338e-05    4.83792e-05
4             12       0.999199    0.000316773   -5.40178e-06    5.53277e-06
4             13       0.998839    0.000276123   -2.40002e-06    5.57335e-05
4             14       0.999367    0.000247102    2.20841e-05    2.26196e-05
4             15       0.999378     0.00029778    1.11012e-05    1.13704e-05

5              0       0.998911    0.000430124    1.78868e-05     2.1596e-05
5              1       0.999086    0.000187138    3.72767e-05    3.91663e-05
5              2       0.999363    0.000277595   -2.16005e-05    1.70317e-05
5              3       0.998895    0.000447979     4.6754e-07    9.33006e-05
5              4       0.998842    0.000365775    4.17424e-05    4.94298e-05
5              5       0.999478    0.000345426    9.06203e-05    6.57874e-05
5              6       0.999068    1.13265e-05    6.94836e-05    5.66201e-05
5              7       0.998799    0.000832631   -4.70577e-05    4.44794e-05
5              8        0.99904    0.000444619   -5.56335e-05     4.5334e-05
5              9       0.998939    0.000446264    7.90063e-05    5.46054e-05
5             10       0.999192    0.000251848    3.16548e-05    2.57946e-05
5             11       0.998867    0.000603672   -6.70441e-05    5.46322e-05
5             12       0.999002    0.000352091   -7.66733e-06    6.24788e-06
5             13        0.99896    0.000308562   -4.44647e-05    8.75648e-05
5             14       0.999124    1.44529e-05    3.13463e-05    2.55432e-05
5             15       0.998902    0.000671674    1.57571e-05      1.284e-05

6              0       0.999353     0.00021152    3.36698e-06    2.84792e-05
6              1       0.999549     0.00018291    3.99126e-05    2.78076e-05
6              2       0.999674    5.18794e-05   -2.42345e-05    7.92795e-06
6              3       0.999346    0.000247812    4.90042e-05     9.5084e-05
6              4       0.999172     0.00029457    4.89525e-05    5.01395e-05
6              5       0.999068    1.13265e-05    6.94836e-05    5.66201e-05
6              6       0.999608              0    8.86534e-05    1.29902e-11
6              7       0.999149    0.000120203   -5.42254e-05    2.06058e-05
6              8       0.999428              0   -7.09822e-05    2.04181e-11
6              9       0.999362     9.6072e-05    4.38055e-05     8.5659e-05
6             10       0.999575    4.02745e-07    4.03881e-05              0
6             11       0.999254              0   -8.55409e-05    2.90612e-11
6             12       0.999663    3.71634e-07   -9.78267e-06    3.56078e-12
6             13       0.999502    4.01244e-05    -1.8982e-05     8.0522e-05
6             14       0.999414    2.22771e-07    3.99945e-05    2.06197e-11
6             15       0.999317              0    2.01044e-05    6.37052e-12

7              0       0.999494    0.000114985   -2.73233e-06    1.46751e-05
7              1       0.999282    0.000135138   -2.32823e-05    1.44368e-05
7              2       0.999182    0.000315564    1.51517e-05    8.05085e-06
7              3        0.99935    2.51622e-05   -1.77231e-05    5.70209e-05
7              4       0.999202    0.000289903   -3.22882e-05    3.60586e-05
7              5       0.998799    0.000832631   -4.70577e-05    4.44794e-05
7              6       0.999149    0.000120203   -5.42254e-05    2.06058e-05
7              7       0.999647    4.22136e-05    3.79567e-05    3.30588e-05
7              8        0.99959    1.32747e-05    4.34167e-05    1.64985e-05
7              9        0.99948    3.82509e-05   -3.24243e-05    5.35756e-05
7             10        0.99955    6.20142e-05   -2.47036e-05    9.38744e-06
7             11       0.999575    7.41108e-05    5.23216e-05    1.98823e-05
7             12       0.999437    5.21351e-05    5.98363e-06    2.27379e-06
7             13       0.999154    0.000188597    2.28765e-05    6.16407e-05
7             14       0.999223    0.000189391   -2.44629e-05    9.29595e-06
7             15       0.999676    0.000107746    -1.2297e-05    4.67287e-06

8              0         0.9997    4.15791e-05   -2.69584e-06    2.28025e-05
8              1       0.999523    8.37279e-05   -3.19568e-05    2.22647e-05
8              2       0.999529    0.000122639    1.94038e-05    6.34767e-06
8              3       0.999474    9.29923e-06   -3.92362e-05     7.6131e-05
8              4       0.999431    0.000214424   -3.91948e-05    4.01453e-05
8              5        0.99904    0.000444619   -5.56335e-05     4.5334e-05
8              6       0.999428              0   -7.09822e-05    2.04181e-11
8              7        0.99959    1.32747e-05    4.34167e-05    1.64985e-05
8              8       0.999793              0    5.68334e-05              0
8              9       0.999649    3.71039e-06   -3.50738e-05    6.85847e-05
8             10       0.999813    2.20265e-07   -3.23376e-05              0
8             11       0.999731              0    6.84901e-05              0
8             12       0.999556    3.10431e-07     7.8327e-06              0
8             13       0.999241    6.07716e-05    1.51984e-05    6.44716e-05
8             14       0.999604              0   -3.20224e-05    1.02696e-11
8             15         0.9998              0    -1.6097e-05              0

9              0       0.999613    9.84116e-05    2.09799e-05    2.30415e-05
9              1       0.999472    0.000102571    3.39934e-05    3.95923e-05
9              2       0.999432     0.00011903   -1.68036e-05    2.18121e-05
9              3       0.999428    9.62583e-05   -2.26565e-05    0.000114575
9              4         0.9993    0.000219489      3.464e-05    6.80936e-05
9              5       0.998939    0.000446264    7.90063e-05    5.46054e-05
9              6       0.999362     9.6072e-05    4.38055e-05     8.5659e-05
9              7        0.99948    3.82509e-05   -3.24243e-05    5.35756e-05
9              8       0.999649    3.71039e-06   -3.50738e-05    6.85847e-05
9              9       0.999556    3.04761e-05    0.000104411    4.43081e-06
9             10       0.999669    1.66724e-05    1.99566e-05    3.90239e-05
9             11       0.999585    8.76358e-06   -4.22675e-05    8.26516e-05
9             12       0.999543    0.000113822   -4.83382e-06    9.45225e-06
9             13       0.999233    0.000141272   -4.59308e-05    7.61926e-05
9             14       0.999421    2.14502e-06    1.97621e-05    3.86436e-05
9             15       0.999666     3.5221e-06    9.93398e-06    1.94253e-05

10              0       0.999712    3.49949e-05    1.53391e-06    1.29744e-05
10              1       0.999633      0.0001028    1.81831e-05    1.26684e-05
10              2       0.999705    5.96954e-05   -1.10406e-05    3.61176e-06
10              3       0.999511    5.44747e-05     2.2325e-05    4.33177e-05
10              4         0.9995    0.000189942    2.23014e-05    2.28422e-05
10              5       0.999192    0.000251848    3.16548e-05    2.57946e-05
10              6       0.999575    4.02745e-07    4.03881e-05              0
10              7        0.99955    6.20142e-05   -2.47036e-05    9.38744e-06
10              8       0.999813    2.20265e-07   -3.23376e-05              0
10              9       0.999669    1.66724e-05    1.99566e-05    3.90239e-05
10             10        0.99988    2.41196e-07    1.83997e-05    9.42161e-12
10             11       0.999711     5.1436e-07   -3.89701e-05     1.0876e-11
10             12       0.999626              0   -4.45672e-06              0
10             13       0.999355    1.00256e-05   -8.64771e-06    3.66837e-05
10             14       0.999728    3.66672e-07    1.82204e-05              0
10             15       0.999767              0      9.159e-06    1.90913e-12

11              0       0.999643    4.79027e-05   -3.24877e-06    2.74793e-05
11              1       0.999382    7.15631e-05   -3.85113e-05    2.68313e-05
11              2       0.999334    0.000175308    2.33836e-05     7.6496e-06
11              3       0.999393    3.17546e-05   -4.72837e-05    9.17457e-05
11              4       0.999328    0.000267577   -4.72338e-05    4.83792e-05
11              5       0.998867    0.000603672   -6.70441e-05    5.46322e-05
11              6       0.999254              0   -8.55409e-05    2.90612e-11
11              7       0.999575    7.41108e-05    5.23216e-05    1.98823e-05
11              8       0.999731              0    6.84901e-05              0
11              9       0.999585    8.76358e-06   -4.22675e-05    8.26516e-05
11             10       0.999711     5.1436e-07   -3.89701e-05     1.0876e-11
11             11       0.999702    1.64251e-07    8.25376e-05    2.78103e-11
11             12       0.999443              0    9.43921e-06    2.82621e-12
11             13       0.999089    9.97854e-05    1.83156e-05     7.7695e-05
11             14       0.999459    4.19223e-07   -3.85903e-05    2.11299e-11
11             15       0.999782    3.04655e-07   -1.93985e-05    1.13094e-11

12              0        0.99952    0.000331999   -3.71537e-07    3.14261e-06
12              1       0.999629     0.00021534   -4.40425e-06    3.06849e-06
12              2       0.999605    4.92244e-05    2.67421e-06    8.74828e-07
12              3       0.999577    0.000252734   -5.40748e-06    1.04923e-05
12              4       0.999199    0.000316773   -5.40178e-06    5.53277e-06
12              5       0.999002    0.000352091   -7.66733e-06    6.24788e-06
12              6       0.999663    3.71634e-07   -9.78267e-06    3.56078e-12
12              7       0.999437    5.21351e-05    5.98363e-06    2.27379e-06
12              8       0.999556    3.10431e-07     7.8327e-06              0
12              9       0.999543    0.000113822   -4.83382e-06    9.45225e-06
