#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.999556    3.92837e-07     0.00190154              0
0              1      -0.999556    0.000206365     0.00203884    0.000184954
0              2       0.999387    0.000167446     0.00247259    5.95374e-05
0              3      -0.999571      9.241e-05     0.00233048    1.66087e-05
0              4      -0.999261    0.000167537     0.00210651    0.000101515
0              5       0.999166    1.42538e-07     0.00233854              0
0              6      -0.998581    0.000256038     0.00291236    0.000215366
0              7        0.99915     0.00032454     0.00229594    0.000310608
0              8        0.99919    0.000146276     0.00238026    1.36702e-05
0              9      -0.999222    0.000338791     0.00247689    0.000227678
0             10       0.998353    0.000457593     0.00283283    0.000225624
0             11      -0.998989              0     0.00280113    5.42925e-10
0             12      -0.999624              0     0.00233559    8.46016e-10
0             13       0.999149    3.82528e-07     0.00275688              0
0             14      -0.997842    0.000481186     0.00320359    0.000191527
0             15       0.998524              0     0.00306175              0
0             16     0.00399279              0     -0.0217534              0
0             17    -0.00369809     0.00500661      0.0216704    6.06263e-05
0             18     -0.0186786     0.00165512     -0.0217265    4.02931e-05
0             19     0.00717271              0      0.0217402    8.30393e-09
0             20    -0.00411969       0.013422      0.0217019     2.6083e-05
0             21     0.00912062     0.00439438     -0.0216345    1.95209e-05
0             22      0.0097585     0.00152016      0.0216071     1.0531e-05
0             23      0.0170575              0     -0.0216234              0
0             24      0.0105725              0     -0.0217529    2.65468e-09
0             25     0.00381402     0.00175931      0.0216107    5.87103e-08
0             26      0.0104602      0.0129091     -0.0216137    7.66619e-05
0             27    -0.00138774    0.000177302      0.0216971    8.97628e-05
0             28    -0.00321121      0.0150815      0.0216428    7.31391e-05
0             29     -0.0283762              0     -0.0214913              0
0             30     -0.0212988              0      0.0216662              0
0             31    -0.00440635    8.35437e-10     -0.0217679              0

1              0      -0.999556    0.000206365     0.00203884    0.000184954
1              1       0.999932     3.2324e-06     0.00220404    0.000414468
1              2      -0.999348     0.00021852     0.00265062     0.00024205
1              3       0.999482    0.000115798     0.00249906    0.000231042
1              4       0.999559    0.000178954     0.00225869    0.000230362
1              5      -0.999417     0.00013004     0.00250739    0.000227458
1              6       0.998508    0.000301872       0.003117    0.000325908
1              7      -0.998977    0.000380717     0.00244225    0.000240576
1              8      -0.999358    0.000235117     0.00255114    0.000220038
1              9       0.999237    0.000374042     0.00265898    0.000360998
1             10      -0.998215    0.000491896     0.00302495    0.000261158
1             11       0.999024    0.000105045     0.00300339    0.000272453
1             12       0.999681    5.42602e-05     0.00250422    0.000227171
1             13      -0.999209    0.000124582     0.00295594    0.000268149
1             14       0.997673    0.000753309     0.00342215     0.00023349
1             15      -0.998359    0.000117305     0.00328282    0.000297802
1             16    -0.00306475    0.000477857     -0.0233241     0.00211585
1             17     0.00515105     0.00524132      0.0232369     0.00213018
1             18      0.0181257     0.00174911     -0.0232989     0.00215788
1             19     -0.0077708    0.000515269      0.0233099     0.00211456
1             20     0.00301886      0.0129271      0.0232699     0.00212406
1             21     -0.0072686     0.00431032     -0.0231963     0.00210176
1             22    -0.00860685     0.00178864      0.0231669     0.00209799
1             23     -0.0159044    0.000718178     -0.0231847     0.00210321
1             24     -0.0097496    0.000500073     -0.0233235      0.0021158
1             25    -0.00312447     0.00152412      0.0231711     0.00210198
1             26     -0.0110982      0.0124332       -0.02318     0.00217084
1             27    0.000799917    0.000506078      0.0232664     0.00214428
1             28     0.00333937      0.0144634      0.0232099     0.00215935
1             29      0.0263898     0.00122261     -0.0230431     0.00209036
1             30      0.0209618    8.91274e-05      0.0232305     0.00210736
1             31     0.00410942     0.00018333     -0.0233397     0.00211726

2              0       0.999387    0.000167446     0.00247259    5.95374e-05
2              1      -0.999348     0.00021852     0.00265062     0.00024205
2              2       0.999814    1.56795e-05     0.00321699    0.000167967
2              3      -0.999801     0.00021195     0.00303011    6.47093e-05
2              4       -0.99917    0.000274644     0.00273775    0.000118769
2              5       0.999447    0.000166377     0.00304082    7.32198e-05
2              6      -0.999501       6.07e-05     0.00378506     0.00026773
2              7        0.99939    3.27674e-05     0.00298673    0.000421183
2              8       0.999355    0.000272708      0.0030951    7.78818e-05
2              9      -0.999569    0.000319357     0.00322292    0.000335763
2             10       0.999263    0.000171709      0.0036839    0.000310507
2             11      -0.999565    8.09203e-05     0.00364234    8.77037e-05
2             12      -0.999752    0.000142667     0.00303698    7.31274e-05
2             13       0.999734    8.55214e-05      0.0035848    8.63182e-05
2             14      -0.999066    0.000220722     0.00416601    0.000274233
2             15       0.999465    9.69742e-06     0.00398122    9.58636e-05
2             16     0.00430834    0.000245858     -0.0282862    0.000681101
2             17    -0.00420322     0.00503922      0.0281779    0.000667874
2             18     -0.0184862     0.00174131      -0.028251    0.000677251
2             19     0.00750894    9.15969e-05      0.0282689    0.000680686
2             20     -0.0038337      0.0136082      0.0282191     0.00068009
2             21     0.00970573     0.00410338     -0.0281319    0.000699941
2             22     0.00959542     0.00161188       0.028096    0.000681307
2             23      0.0171322    0.000263556     -0.0281171    0.000677031
2             24      0.0106575    0.000192331     -0.0282854    0.000681084
2             25      0.0036861     0.00176184      0.0281006    0.000676631
2             26     0.00994282      0.0128773     -0.0281043    0.000674874
2             27    -0.00126388    0.000247398      0.0282121    0.000650548
2             28     -0.0034179      0.0151167       0.028142    0.000668913
2             29     -0.0285423    0.000458901     -0.0279453    0.000672894
2             30     -0.0216388     0.00011489      0.0281727    0.000678369
2             31    -0.00442974    6.83902e-05      -0.028305    0.000681556

3              0      -0.999571      9.241e-05     0.00233048    1.66087e-05
3              1       0.999482    0.000115798     0.00249906    0.000231042
3              2      -0.999801     0.00021195     0.00303011    6.47093e-05
3              3       0.999899     0.00020115     0.00285632    4.02937e-05
3              4       0.999199    0.000275582     0.00258255    0.000139934
3              5      -0.999425    4.13453e-05     0.00286605    2.04255e-05
3              6       0.999348    0.000190269     0.00356985    0.000271759
3              7      -0.999469    0.000195713     0.00281303    0.000375301
