#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
3             20       0.101544       0.273219   -0.000235243     0.00805724
3             21      -0.103712       0.270645    0.000169549     0.00682881
3             22       0.121727       0.261084    0.000366546     0.00724857
3             23      -0.099159       0.262379    0.000249188     0.00750002
3             24     -0.0973367       0.275923   -5.68599e-05     0.00842157
3             25       0.105955        0.26026    0.000190081       0.007933
3             26     -0.0939086       0.269188    0.000168293     0.00615507
3             27       0.101313       0.269966   -0.000159737     0.00702305
3             28       0.110493       0.262388   -0.000139419     0.00706773
3             29      -0.114256       0.264011   -0.000322467     0.00694088
3             30      0.0943682       0.269189   -0.000347346     0.00622705
3             31     -0.0888632       0.279872    -0.00026907     0.00845897

4              0      -0.734642       0.255218        0.02201      0.0667403
4              1       0.657939        0.29481      0.0180595      0.0669684
4              2      -0.641823       0.331236      0.0120828      0.0651506
4              3       0.663983       0.307995      0.0180641      0.0671541
4              4              1              0      0.0674189      0.0699842
4              5      -0.710565       0.275883      0.0219229      0.0668697
4              6       0.642136       0.320665      0.0153122      0.0687805
4              7      -0.711713       0.289279      0.0239409      0.0675613
4              8       -0.72988       0.270265      0.0240384      0.0676457
4              9       0.666913        0.30455      0.0175289      0.0705607
4             10      -0.627077       0.324978      0.0138526      0.0709301
4             11       0.652477       0.322332      0.0158464      0.0684889
4             12       0.671904       0.302679       0.016681        0.06994
4             13      -0.625102       0.340846      0.0117529       0.069325
4             14       0.616682       0.335094      0.0106616      0.0700764
4             15      -0.632268       0.329196      0.0135251      0.0672122
4             16     -0.0794186        0.27279   -0.000391946     0.00705599
4             17      0.0840473       0.281762    0.000126234     0.00780418
4             18     -0.0608084       0.275985     1.1775e-05     0.00710229
4             19      0.0840304       0.265624   -0.000309746     0.00723293
4             20      0.0744857       0.272505   -0.000135294     0.00769499
4             21     -0.0747816       0.275553    8.61611e-05     0.00735154
4             22      0.0954452       0.261867    0.000396453     0.00732821
4             23     -0.0747528       0.265607   -0.000228445     0.00696509
4             24     -0.0778552        0.27507   -7.73568e-05     0.00817588
4             25      0.0717369       0.264345    3.98823e-05      0.0076738
4             26     -0.0663198       0.271516    0.000410545     0.00678116
4             27      0.0629528       0.273325   -0.000391065     0.00727907
4             28      0.0806902       0.265737   -0.000353037     0.00741609
4             29     -0.0816573       0.267284   -0.000107888     0.00710521
4             30      0.0718017       0.272812   -0.000119082     0.00736033
4             31     -0.0610806       0.270565   -0.000475929     0.00832025

5              0       0.654334       0.315312       0.014903      0.0656756
5              1      -0.712108       0.261432      0.0211929      0.0665307
5              2       0.662206       0.314298      0.0167061      0.0659368
5              3      -0.625102       0.336072      0.0140466      0.0661611
5              4      -0.710565       0.275883      0.0219229      0.0668697
5              5              1              0      0.0644884      0.0693729
5              6      -0.702557       0.281539      0.0208124      0.0671921
5              7       0.643104       0.320335      0.0173708      0.0678992
5              8       0.647497       0.311837      0.0111681      0.0669657
5              9      -0.711975       0.267411      0.0201278      0.0678978
5             10       0.651374        0.33516      0.0177069      0.0729789
5             11      -0.597349       0.356787      0.0140595      0.0657719
5             12      -0.622006         0.3295      0.0114853      0.0675116
5             13       0.628786       0.341035      0.0118333      0.0683398
5             14      -0.630955       0.339524      0.0109252      0.0693685
5             15       0.593303       0.360877      0.0104251      0.0676801
5             16      0.0655247       0.287492   -0.000277691      0.0069869
5             17     -0.0883131       0.280676    -7.5951e-06     0.00797027
5             18      0.0616447       0.280593     6.6761e-05     0.00765327
5             19     -0.0860161       0.276081   -7.04434e-05      0.0068997
