#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.999729    7.19798e-05    1.79822e-05    6.86148e-06
0              1       0.999625    0.000118535    5.48664e-06    2.81079e-06
0              2       0.999689    7.96974e-05    1.09109e-05    5.58963e-06
0              3       0.999582    0.000151776    1.55063e-06    1.82473e-05
0              4       0.999384    0.000133389   -1.34833e-05    1.42751e-05
0              5       0.999425    4.84639e-05    2.51441e-06    1.40852e-05
0              6       0.999607    9.93711e-05   -6.91045e-06    2.61382e-05
0              7       0.999517    5.21998e-05    2.85834e-05    2.66809e-05
0              8       0.999708    8.58292e-05   -5.42932e-06    1.67558e-05
0              9       0.999732    2.86051e-05    2.40467e-05    1.21513e-05
0             10       0.999733    1.79805e-06    -1.6189e-05     8.2936e-06
0             11        0.99964    6.84228e-05   -3.86026e-07    1.74913e-05
0             12       0.999786    4.56724e-05    1.00017e-06    4.52059e-06
0             13       0.999749    7.01351e-05   -3.68664e-06    7.83072e-06
0             14       0.999672    0.000108057   -1.94043e-06    2.70102e-06
0             15       0.999773     5.7226e-06    1.76135e-05    9.02334e-06

1              0       0.999625    0.000118535    5.48664e-06    2.81079e-06
1              1       0.999991    1.67597e-07     2.1134e-06              0
1              2       0.999913              0    4.20278e-06              0
1              3       0.999717    0.000154495    1.65656e-06    6.12604e-06
1              4       0.999682    2.59287e-05   -6.72839e-06    4.54989e-06
1              5       0.999829    0.000116321    1.36987e-06    7.15449e-06
1              6       0.999709    0.000110199   -4.55406e-06    8.87299e-06
1              7       0.999664    3.51625e-05    1.17109e-05    6.99824e-06
1              8       0.999809    9.63053e-05   -2.52817e-06    5.82696e-06
1              9       0.999685    0.000158064    5.15627e-06    8.72185e-06
1             10       0.999665     7.5974e-07   -6.23587e-06              0
1             11       0.999576    0.000232935    2.14337e-06    7.06322e-06
1             12       0.999848    0.000218826    5.78351e-07    1.46732e-06
1             13       0.999758    4.34059e-05   -1.06047e-06    3.96997e-06
1             14       0.999578    5.46216e-05   -1.67889e-06    1.84519e-06
1             15       0.999686    5.17051e-07    6.78455e-06              0

2              0       0.999689    7.96974e-05    1.09109e-05    5.58963e-06
2              1       0.999913              0    4.20278e-06              0
2              2       0.999901              0    8.35778e-06              0
2              3       0.999642    3.69848e-05    3.29428e-06    1.21824e-05
2              4       0.999711    6.09961e-05   -1.33803e-05    9.04806e-06
2              5       0.999763    6.56295e-05    2.72416e-06    1.42276e-05
2              6        0.99971    1.51263e-05   -9.05635e-06    1.76451e-05
2              7       0.999605     1.8795e-06    2.32886e-05    1.39169e-05
2              8       0.999831    5.71447e-05   -5.02759e-06    1.15877e-05
2              9       0.999699    0.000121785    1.02539e-05    1.73445e-05
2             10       0.999683              0   -1.24008e-05              0
2             11       0.999555    0.000176013    4.26238e-06    1.40461e-05
2             12       0.999869    0.000137558    1.15013e-06    2.91796e-06
2             13       0.999768    4.00748e-05   -2.10887e-06     7.8948e-06
2             14       0.999613    1.27636e-05   -3.33869e-06    3.66941e-06
2             15       0.999775    3.20115e-07     1.3492e-05              0

3              0       0.999582    0.000151776    1.55063e-06    1.82473e-05
3              1       0.999717    0.000154495    1.65656e-06    6.12604e-06
3              2       0.999642    3.69848e-05    3.29428e-06    1.21824e-05
3              3       0.999924    0.000105699    1.90558e-05     2.6006e-05
3              4       0.999165    2.63483e-05   -1.20346e-05     2.2646e-05
