#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0              1              0      0.0177349      0.0185572
0              1      -0.996376     0.00349191       0.017065        0.01794
0              2       0.995402     0.00458499      0.0169708      0.0178758
0              3      -0.996327      0.0037127      0.0171519      0.0181172
0              4      -0.996301     0.00373263      0.0169328      0.0177698
0              5       0.995455      0.0046105      0.0169719      0.0180596
0              6      -0.994855     0.00512243      0.0169266      0.0179077
0              7       0.995367     0.00460617      0.0171287      0.0179631
0              8       0.995519     0.00441384      0.0169946      0.0177102
0              9      -0.995221     0.00493968      0.0171132      0.0180418
0             10       0.994969     0.00503313      0.0170977      0.0180384
0             11      -0.995173     0.00492179      0.0170153      0.0177827
0             12      -0.996261     0.00376158      0.0168393      0.0175843
0             13       0.995617     0.00432687      0.0167602      0.0174937
0             14      -0.995002     0.00491703      0.0169563      0.0178631
0             15       0.995301     0.00458507      0.0167726      0.0177565
0             16      -0.328367      0.0824209   -1.35414e-06    5.19743e-05
0             17       0.328037      0.0825835    6.38268e-07     5.2222e-05
0             18      -0.328249       0.082672   -5.01109e-07    5.21168e-05
0             19       0.328432      0.0823651    6.46102e-07      5.374e-05
0             20         0.3281      0.0822802    -1.4304e-06    5.06857e-05
0             21      -0.328215       0.082251    1.32384e-07    5.19461e-05
0             22       0.328186      0.0823674   -1.75896e-06     5.3173e-05
0             23      -0.328248      0.0826372    7.63835e-07    5.41529e-05
0             24      -0.328503      0.0823612    9.06075e-07    5.24762e-05
0             25       0.328219      0.0824568   -2.00454e-06    5.13071e-05
0             26      -0.328428      0.0821894    2.10566e-07    5.18357e-05
0             27       0.328254      0.0828118   -2.58386e-07    5.23492e-05
0             28       0.328092      0.0825241    5.38657e-07    5.15015e-05
0             29      -0.328092      0.0826441   -2.14906e-06    5.41493e-05
0             30       0.327989      0.0828179   -3.08086e-08    5.28144e-05
0             31      -0.328427      0.0824418    2.67276e-07    5.16695e-05

1              0      -0.996376     0.00349191       0.017065        0.01794
1              1              1              0      0.0180628      0.0186789
1              2      -0.996322     0.00359776      0.0173551      0.0180779
1              3       0.995489     0.00455262      0.0170981      0.0179537
1              4       0.995447     0.00445194       0.016902      0.0177376
1              5      -0.996322     0.00362743      0.0173066      0.0182538
1              6       0.995387     0.00465823      0.0172337      0.0180488
1              7      -0.995031     0.00475198      0.0172105      0.0178421
1              8      -0.995156     0.00479039      0.0170776       0.017712
1              9       0.995537     0.00441834      0.0173129       0.018151
1             10      -0.995219     0.00469239      0.0173255      0.0182157
1             11       0.994892     0.00508306      0.0170834       0.017701
1             12       0.995376     0.00462523      0.0168127      0.0174783
1             13      -0.996385     0.00361242      0.0171381      0.0177268
1             14       0.995434     0.00455604      0.0172415      0.0179655
1             15      -0.995041     0.00490737      0.0168695      0.0177108
1             16       0.329085      0.0816936   -1.00607e-06    5.27994e-05
1             17      -0.328776      0.0817144    8.02887e-07    5.22657e-05
1             18       0.328988      0.0818346   -1.94173e-07    5.29596e-05
1             19      -0.329157      0.0815419    5.62465e-07     5.3657e-05
1             20      -0.328844      0.0814995   -1.46924e-06    5.10738e-05
1             21       0.328939      0.0814616   -8.19478e-08    5.28209e-05
1             22      -0.328909      0.0816236   -1.84013e-06     5.4177e-05
1             23       0.328965      0.0818513    7.23121e-07    5.40179e-05
1             24       0.329226      0.0815503     7.7852e-07    5.29208e-05
1             25       -0.32895      0.0816439    -2.0066e-06    5.17202e-05
1             26       0.329146      0.0814695    2.94626e-07    5.29623e-05
1             27      -0.329006      0.0819648   -3.12602e-07    5.33084e-05
1             28      -0.328837      0.0817059    5.78905e-07    5.24075e-05
1             29        0.32884      0.0818318   -2.31069e-06    5.41416e-05
1             30       -0.32871      0.0820354   -4.33634e-07     5.3428e-05
1             31       0.329187      0.0816263    3.82898e-07    5.22394e-05

2              0       0.995402     0.00458499      0.0169708      0.0178758
2              1      -0.996322     0.00359776      0.0173551      0.0180779
2              2              1              0      0.0183598      0.0189846
2              3      -0.996308     0.00375739      0.0174362      0.0182428
2              4       -0.99506     0.00496331      0.0169232       0.017768
2              5       0.995458     0.00452834      0.0172399      0.0181669
2              6      -0.996156     0.00380287      0.0175388      0.0183772
2              7       0.995425     0.00462363      0.0174447      0.0181217
2              8       0.994807      0.0053534      0.0171177       0.017748
2              9      -0.994981      0.0051349      0.0173152         0.0182
2             10       0.995469     0.00441805      0.0175294      0.0183348
2             11      -0.994931     0.00499339      0.0172173      0.0177861
2             12      -0.994827     0.00519703      0.0168507      0.0175221
2             13        0.99529     0.00468741      0.0170266      0.0176967
2             14      -0.996287     0.00390603      0.0176025      0.0182848
2             15       0.995271     0.00469057      0.0170822      0.0178823
2             16      -0.328404       0.082608   -1.11686e-06    5.28604e-05
2             17       0.328099      0.0826231    5.01542e-07    5.33642e-05
2             18      -0.328319      0.0828142   -3.05736e-07    5.32473e-05
2             19       0.328494      0.0824931    7.00766e-07    5.42434e-05
2             20       0.328148      0.0824289   -1.26131e-06    5.16594e-05
2             21      -0.328269      0.0823335   -4.14025e-07    5.34289e-05
2             22       0.328225      0.0824438   -2.10994e-06     5.4707e-05
2             23      -0.328284      0.0828423    5.72811e-07    5.37746e-05
2             24      -0.328567      0.0823899     5.5053e-07    5.30672e-05
2             25       0.328309      0.0824878   -2.39718e-06    5.23912e-05
2             26      -0.328471      0.0824001    4.54677e-07    5.27512e-05
2             27       0.328322      0.0829061   -5.33606e-07    5.26556e-05
2             28       0.328161      0.0826371    8.86248e-07    5.22751e-05
2             29      -0.328172      0.0828204    -2.3816e-06    5.44366e-05
2             30        0.32804      0.0830136   -2.21207e-08    5.43977e-05
2             31      -0.328477      0.0825413    6.13285e-07    5.23619e-05

3              0      -0.996327      0.0037127      0.0171519      0.0181172
3              1       0.995489     0.00455262      0.0170981      0.0179537
3              2      -0.996308     0.00375739      0.0174362      0.0182428
3              3              1              0      0.0182549      0.0190452
3              4       0.995441     0.00445163      0.0169757        0.01786
3              5      -0.995031     0.00489865      0.0170911      0.0181279
3              6       0.995355     0.00473166      0.0172936      0.0182395
3              7      -0.996331     0.00362131      0.0176086      0.0183884
3              8      -0.995148     0.00486596      0.0171747      0.0179283
3              9       0.994908     0.00515793      0.0172862      0.0183269
3             10      -0.995224     0.00460541      0.0174234      0.0183717
3             11       0.995498     0.00438079      0.0173425      0.0181144
3             12       0.995295     0.00471317      0.0169066      0.0176723
3             13      -0.995095      0.0047976      0.0169169       0.017772
3             14       0.995452     0.00451511      0.0173258      0.0181754
3             15      -0.996213     0.00372883      0.0172505       0.018226
3             16       0.328905      0.0821662   -1.23775e-06    5.30085e-05
3             17      -0.328615      0.0822401    7.29898e-07    5.32861e-05
3             18       0.328805      0.0823531   -6.28886e-07    5.26771e-05
3             19      -0.328957      0.0820605    7.58357e-07    5.41077e-05
3             20      -0.328646      0.0820208   -1.51203e-06    5.15587e-05
3             21       0.328759      0.0819852   -2.09062e-07    5.25379e-05
3             22      -0.328748      0.0820408   -1.90687e-06    5.40815e-05
3             23       0.328791       0.082413    5.01519e-07    5.41124e-05
3             24       0.329043      0.0820255    8.37815e-07    5.34118e-05
3             25       -0.32877      0.0821467   -2.62063e-06    5.21271e-05
3             26       0.328969      0.0819454    5.03788e-07    5.33529e-05
3             27      -0.328772      0.0825403   -5.62845e-07    5.29881e-05
3             28      -0.328654      0.0822204    6.68183e-07    5.27978e-05
3             29       0.328656      0.0823775   -2.09343e-06    5.41291e-05
3             30      -0.328522      0.0826131   -1.65107e-07    5.42246e-05
3             31       0.328971        0.08221    4.70208e-07    5.29394e-05

4              0      -0.996301     0.00373263      0.0169328      0.0177698
4              1       0.995447     0.00445194       0.016902      0.0177376
4              2       -0.99506     0.00496331      0.0169232       0.017768
4              3       0.995441     0.00445163      0.0169757        0.01786
4              4              1              0      0.0178187      0.0184372
4              5      -0.996339     0.00375232      0.0171751      0.0180854
4              6       0.995314     0.00457648      0.0170558      0.0178697
4              7      -0.996354     0.00365663      0.0173765      0.0180343
4              8       -0.99643     0.00357958      0.0172475      0.0178006
4              9       0.995583     0.00443359      0.0172047      0.0180544
4             10      -0.995241     0.00461994      0.0171876      0.0179576
4             11       0.995618     0.00436612      0.0171357      0.0177106
4             12       0.995244     0.00469751      0.0167044      0.0173578
4             13      -0.995062     0.00485744      0.0167057      0.0173497
4             14       0.994718     0.00520253       0.016945      0.0177013
4             15      -0.994956     0.00495223      0.0167522      0.0176337
4             16       0.328903      0.0826442   -1.66616e-06    5.25094e-05
4             17      -0.328582      0.0827723    5.55655e-07    5.24557e-05
4             18       0.328806      0.0828668   -4.59881e-07    5.22492e-05
4             19      -0.328976      0.0825318     8.4579e-07    5.43745e-05
4             20      -0.328653       0.082488   -1.40597e-06    5.14624e-05
4             21       0.328749      0.0824558   -2.69269e-07     5.2835e-05
4             22      -0.328725      0.0825839   -2.04237e-06    5.31048e-05
4             23       0.328759      0.0829528      8.553e-07    5.42331e-05
4             24       0.329077      0.0824682    6.28714e-07    5.25463e-05
4             25      -0.328779      0.0825533   -2.36968e-06    5.12685e-05
4             26       0.328972       0.082363    1.79716e-08    5.26269e-05
4             27      -0.328801      0.0829584   -4.97196e-08    5.23539e-05
4             28      -0.328627      0.0827569    6.13449e-07    5.18901e-05
4             29       0.328655      0.0828215   -2.44029e-06    5.37955e-05
4             30      -0.328506      0.0829926   -4.26791e-07    5.34814e-05
4             31       0.328973      0.0826273     5.4743e-07    5.16802e-05

5              0       0.995455      0.0046105      0.0169719      0.0180596
5              1      -0.996322     0.00362743      0.0173066      0.0182538
5              2       0.995458     0.00452834      0.0172399      0.0181669
5              3      -0.995031     0.00489865      0.0170911      0.0181279
5              4      -0.996339     0.00375232      0.0171751      0.0180854
5              5              1              0      0.0182364      0.0192305
5              6      -0.996324     0.00360721      0.0174833      0.0185027
5              7       0.995536     0.00461161       0.017392      0.0182286
5              8        0.99556     0.00441918      0.0172512      0.0179333
5              9      -0.996465     0.00360154      0.0175674      0.0185511
5             10        0.99571      0.0042706      0.0174972       0.018487
5             11      -0.995262     0.00475811      0.0172756      0.0180125
5             12      -0.994904     0.00531174      0.0168429      0.0177032
5             13       0.995483     0.00450114      0.0170089       0.017771
5             14      -0.995033       0.004988      0.0172103      0.0181172
5             15        0.99475      0.0053098      0.0169025      0.0179038
5             16      -0.328742      0.0830589    -1.4038e-06    5.28752e-05
5             17       0.328443      0.0830927    6.82559e-07    5.30844e-05
5             18      -0.328657      0.0831982    -6.1073e-08    5.28734e-05
5             19       0.328825       0.082847     5.0213e-07    5.36982e-05
5             20       0.328509      0.0827802    -1.4215e-06    5.24329e-05
5             21      -0.328617      0.0828045   -3.02516e-07    5.26399e-05
5             22       0.328574      0.0829294   -1.61012e-06    5.40519e-05
5             23      -0.328586      0.0832704    7.85184e-07    5.42774e-05
5             24      -0.328894      0.0828855    9.18384e-07    5.35659e-05
5             25       0.328625      0.0828524   -2.13154e-06    5.18876e-05
5             26      -0.328796      0.0828023    2.43886e-07    5.32372e-05
5             27       0.328645      0.0832877    1.62494e-07    5.28486e-05
5             28       0.328484      0.0831982      6.044e-07    5.26307e-05
5             29      -0.328508      0.0831752   -2.36145e-06    5.39925e-05
5             30       0.328362      0.0833819   -5.58861e-07    5.42719e-05
5             31       -0.32882      0.0829759    6.37385e-07    5.23053e-05

6              0      -0.994855     0.00512243      0.0169266      0.0179077
6              1       0.995387     0.00465823      0.0172337      0.0180488
6              2      -0.996156     0.00380287      0.0175388      0.0183772
6              3       0.995355     0.00473166      0.0172936      0.0182395
6              4       0.995314     0.00457648      0.0170558      0.0178697
6              5      -0.996324     0.00360721      0.0174833      0.0185027
6              6              1              0      0.0184894      0.0193014
6              7      -0.996317     0.00371149      0.0177175      0.0185019
6              8      -0.995002     0.00493837      0.0172765      0.0178664
6              9       0.995321     0.00477318      0.0174917      0.0183901
6             10      -0.996257     0.00371055      0.0178035      0.0186369
