#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.482721       0.284514      0.0421403       0.047334
0              1     0.00185581       0.282565    -0.00159117       0.038012
0              2    -0.00660573       0.297427     0.00145712      0.0411197
0              3     -0.0102826       0.276992    9.50266e-05      0.0404219
0              4     -0.0022387       0.288351     0.00245986      0.0459886
0              5      0.0152006       0.281389    0.000276361      0.0457452
0              6    0.000945948       0.281898    -0.00131014      0.0434268
0              7     0.00642323       0.282305     0.00109463      0.0430285
0              8     -0.0175946       0.282037    -0.00252854      0.0406496
0              9     -0.0213023       0.281429    0.000240449      0.0413819
0             10     0.00763839       0.283953    0.000931479       0.044187
0             11      0.0112388       0.270658   -0.000162897      0.0452567
0             12     -0.0149729       0.296306   -0.000657961      0.0485347
0             13     -0.0101202         0.2808     0.00162993      0.0418392
0             14     0.00426752        0.27566    -0.00139034      0.0408803
0             15     0.00219935       0.277285   -0.000192711      0.0424546
0             16     0.00914691       0.279112    0.000168596       0.044169
0             17    -0.00362079       0.283709   -0.000188381      0.0468236
0             18     0.00801431       0.287238   -7.69251e-05      0.0469205
0             19    -0.00631492       0.282005    -0.00140644      0.0487698
0             20     0.00481064       0.281876     0.00220443      0.0484439
0             21     -0.0173474       0.275165     0.00426703      0.0454759
0             22     -0.0062361       0.265914    0.000140207       0.044814
0             23      0.0161354       0.280563    0.000180985      0.0479427
0             24     0.00847468       0.270063    0.000851506      0.0484911
0             25     -0.0105812       0.282032     -0.0015846      0.0459542
0             26     0.00614798       0.278251     0.00026928      0.0453332
0             27    -0.00588097       0.275553   -0.000393676      0.0468774
0             28    -0.00461903        0.26725    -0.00155323      0.0450793
0             29     -0.0183036       0.287414    0.000146738      0.0466921
0             30    -0.00627029       0.282018    -0.00348496      0.0428651
0             31      0.0036512       0.291587     0.00167613      0.0484347

1              0     0.00185581       0.282565    -0.00159117       0.038012
1              1       0.511545       0.290477      0.0381901      0.0466691
1              2     -0.0263369       0.300084     -0.0020639      0.0416279
1              3       0.019619       0.290492    -0.00322824      0.0391539
1              4   -0.000762794       0.293453    0.000207085      0.0412502
1              5     -0.0186979       0.294905   -0.000570741      0.0410845
1              6     -0.0170634       0.277651   -0.000550424      0.0387889
1              7     0.00350341       0.280942   -0.000835641      0.0403521
1              8      -0.017069       0.284961    0.000229983       0.040903
1              9    -0.00377304       0.289663     0.00294969      0.0405028
1             10     -0.0351465       0.290851    -0.00131309      0.0430621
1             11      0.0234725       0.289299   -0.000107276      0.0419911
1             12     0.00713805       0.287073   -0.000290706      0.0424143
1             13     -0.0160588       0.276017    0.000862068      0.0386888
1             14     -0.0273293       0.288077    0.000142262       0.041062
1             15     0.00924711       0.286599   -0.000587027      0.0434006
1             16     -0.0109194       0.300685   -0.000105074      0.0406224
1             17    -0.00432889       0.287206     0.00314887      0.0469057
1             18     -0.0121618       0.283859     0.00234163      0.0418848
1             19     0.00195805       0.277826    1.38719e-05      0.0460264
1             20     -0.0145588       0.301155     0.00247766       0.046218
1             21     -0.0014864       0.277561    -0.00181903      0.0429004
1             22      0.0205622       0.286764    0.000182925      0.0438037
1             23    -0.00684699       0.295122    0.000784197       0.045352
1             24     0.00735215       0.287683     0.00111709      0.0455738
1             25      0.0122481       0.291784     0.00127919      0.0417078
1             26    0.000186418        0.27781    -0.00178343      0.0420088
1             27     -0.0267946       0.293615     0.00163632      0.0455699
1             28     -0.0136593       0.279529     0.00251942      0.0430311
1             29     0.00612324       0.298516    0.000842749       0.043768
1             30     0.00973651       0.297464   -0.000241694      0.0441485
1             31      0.0103971       0.282418    0.000197102      0.0434428

2              0    -0.00660573       0.297427     0.00145712      0.0411197
2              1     -0.0263369       0.300084     -0.0020639      0.0416279
2              2       0.517661       0.300094      0.0432227      0.0493804
2              3     -0.0110367       0.290182   -0.000472673      0.0398016
2              4      0.0105085       0.289923    -0.00181719      0.0427097
2              5     0.00281426       0.300423     0.00333171      0.0447567
2              6    -0.00222558       0.279881     0.00132014      0.0451683
2              7    -0.00900412       0.285064     0.00108513      0.0417967
2              8      0.0130544       0.294038    7.78955e-05      0.0402716
2              9      -0.012368       0.293135    -0.00028689      0.0402679
2             10     0.00637208        0.28604    0.000312363      0.0427507
2             11     -0.0122008       0.282585    0.000360452      0.0456453
2             12      -0.018406       0.281804   -0.000259334      0.0429369
2             13      0.0117737       0.290535    -0.00158097      0.0436745
2             14     0.00898522        0.28811     0.00145663       0.043287
2             15     -0.0043538       0.281002    -0.00202753      0.0440745
2             16     0.00839448       0.294774     0.00125809      0.0462213
2             17    -0.00458462       0.282614     0.00130519      0.0477103
2             18      0.0224188         0.2904   -0.000200832      0.0474573
2             19     -0.0193756       0.286014    0.000886669      0.0481266
2             20      0.0133519       0.288539    -0.00121233      0.0497979
2             21     0.00539751       0.292357     0.00269962      0.0492719
2             22     -0.0171019       0.283275      0.0046953      0.0446275
2             23     -0.0122549       0.300266     0.00027888      0.0484195
2             24     0.00248824       0.280153     0.00023168       0.049409
2             25   -0.000347618       0.286846    -0.00208176      0.0478073
2             26     0.00168362       0.297427    0.000645112      0.0459953
2             27     -0.0125478       0.277581    -0.00116242      0.0446211
2             28      0.0170775       0.301498     0.00407663      0.0463287
2             29    -0.00696701        0.28412    0.000762701      0.0478367
2             30    -0.00535156        0.29999     0.00147578      0.0464659
2             31     0.00679323       0.286028     0.00333206      0.0443028

3              0     -0.0102826       0.276992    9.50266e-05      0.0404219
3              1       0.019619       0.290492    -0.00322824      0.0391539
3              2     -0.0110367       0.290182   -0.000472673      0.0398016
3              3       0.485962       0.289302      0.0400893      0.0491306
3              4    -0.00379151       0.300285     0.00199191      0.0443958
3              5      0.0112596       0.277582     0.00106455      0.0421215
3              6     -0.0127608       0.277123     0.00097452      0.0426576
3              7    -0.00807139       0.296144   -0.000103284      0.0425951
3              8     -0.0141533       0.271578    0.000593669      0.0404454
3              9     0.00892205       0.286967    -0.00137118      0.0378333
3             10     -0.0103632       0.285451     0.00102105      0.0424061
3             11     -0.0029099       0.281063    0.000199899      0.0437214
3             12    -0.00729377       0.287168    0.000287742      0.0417041
3             13     -0.0253664       0.286744   -0.000930902        0.04202
3             14     -0.0299663        0.27932     0.00121757      0.0411364
3             15     0.00520607       0.297139    0.000875309      0.0419564
3             16     0.00938039       0.291021     0.00306849      0.0415955
3             17    -0.00780596       0.281004    -0.00226798      0.0461642
3             18     -0.0111757       0.278623    -0.00045785      0.0454919
3             19       0.013026       0.278512    -0.00272482      0.0449676
3             20     -0.0228725       0.288332    0.000924545      0.0461649
3             21     0.00502812       0.269152    -0.00219626      0.0459963
3             22     0.00265935       0.285781    0.000282725      0.0462204
3             23     0.00102566       0.280983     0.00179222      0.0473957
3             24     0.00293784        0.27619    -0.00178257      0.0462762
3             25    -0.00558773        0.29065     0.00102578      0.0409995
