#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.579351       0.278039      0.0425064      0.0467199
0              1      -0.215049       0.302601    -0.00070709        0.04025
0              2       0.142945        0.32323     0.00265424      0.0381967
0              3      -0.209659       0.311199     0.00402098        0.03725
0              4      -0.225941        0.30026     0.00222832      0.0417685
0              5       0.155785       0.320487     0.00128191      0.0420227
0              6      -0.138121       0.320563     0.00293911      0.0415735
0              7        0.15043       0.312812     0.00158139      0.0402235
0              8       0.155748        0.32987    8.09482e-05      0.0400412
0              9      -0.115992       0.323809    -0.00144587      0.0456059
0             10       0.127008        0.32435    -0.00249861      0.0397423
0             11      -0.123089       0.338692    0.000881524      0.0389899
0             12      -0.193708       0.312275     0.00092069      0.0411302
0             13       0.141469       0.319834    -0.00139135       0.039827
0             14      -0.116624       0.326899     0.00298674      0.0379619
0             15       0.149295       0.324131   -0.000484502       0.042044
0             16      0.0176016       0.285982    -0.00401469      0.0571198
0             17      0.0238203       0.269119     0.00390882      0.0591879
0             18        0.02409       0.282966   -0.000240673      0.0483879
0             19    -0.00625194       0.275397    -0.00135974      0.0585568
0             20     -0.0018487       0.291471    -0.00232738      0.0500582
0             21     -0.0254504       0.245678    -0.00446745      0.0629902
0             22    -0.00163354        0.27469    -0.00275906       0.063992
0             23      0.0200146       0.256666    -0.00582628      0.0616999
0             24       0.026025       0.259492     0.00166205      0.0643524
0             25      0.0275636        0.27835     0.00294118       0.054581
0             26     -0.0101585       0.273601    -0.00178858       0.058841
0             27     -0.0270994       0.254135     0.00131229       0.065223
0             28       0.014312       0.260448    0.000716616      0.0672883
0             29      0.0175831       0.273032   -0.000383578      0.0563692
0             30     -0.0120599       0.281212     0.00645579      0.0583764
0             31      0.0152298       0.273421    -0.00598892      0.0530207

1              0      -0.215049       0.302601    -0.00070709        0.04025
1              1       0.591622       0.275724      0.0382362      0.0419971
1              2       -0.23031       0.315327    0.000276596      0.0356521
1              3       0.157212       0.317255   -0.000910266      0.0343434
1              4       0.135945       0.331602    1.61015e-05      0.0388728
1              5      -0.222242       0.315112     0.00256796      0.0383617
1              6       0.151147       0.329654     0.00119528      0.0377024
1              7      -0.100348       0.334873    0.000424659      0.0379764
1              8       -0.10955       0.330646     0.00171363      0.0351086
