#i              j      <SS(i,j)>    sd(SS(i,j))    <TzTz(i,j)>  sd(TzTz(i,j))
0              0       0.960961      0.0389384      0.0176128      0.0192114
0              1      -0.926805      0.0443627      0.0139514      0.0183688
0              2       0.917164      0.0506183      0.0130184      0.0180363
0              3      -0.926421      0.0444675      0.0134039      0.0179045
0              4      -0.924258      0.0452624      0.0136435      0.0184435
0              5       0.917233      0.0507658       0.013182      0.0178563
0              6      -0.912254      0.0551287      0.0126107       0.018068
0              7       0.917045      0.0521521      0.0129881      0.0180344
0              8       0.915797      0.0524497      0.0131064      0.0180161
0              9      -0.911492      0.0546262      0.0132042      0.0179053
0             10        0.91037      0.0566214      0.0129558      0.0183089
0             11      -0.912578      0.0549833      0.0129198      0.0178281
0             12      -0.926707      0.0438572       0.013544      0.0179506
0             13       0.915651      0.0523051      0.0129666      0.0178491
0             14      -0.913563      0.0543855       0.012805      0.0176887
0             15       0.917478      0.0502688      0.0131164      0.0179497
0             16      0.0496081        0.28966    3.15255e-06    0.000479586
0             17     -0.0501559       0.289159    4.97295e-06    0.000484479
0             18      0.0507691       0.289786   -4.82198e-06    0.000479139
0             19     -0.0496107       0.290129   -3.25297e-06    0.000467631
0             20      -0.050245       0.289112   -8.55856e-06     0.00046714
0             21      0.0490638       0.289986   -6.50361e-07    0.000492026
0             22     -0.0497079       0.289989   -6.57972e-06    0.000478817
0             23      0.0488332       0.290138      5.607e-06    0.000501336
0             24      0.0498933       0.290539    1.55618e-05    0.000479403
0             25     -0.0498154       0.289954   -5.64515e-06    0.000489688
0             26      0.0490712       0.289505     8.7617e-06    0.000472832
0             27     -0.0496743       0.289752    2.67277e-06     0.00048023
0             28     -0.0499976       0.289286    6.07854e-06    0.000480035
0             29      0.0495925       0.290178    2.52397e-06    0.000476352
0             30     -0.0505633       0.290093   -6.16915e-06    0.000484976
0             31      0.0501734       0.289875   -4.91968e-06    0.000495022

1              0      -0.926805      0.0443627      0.0139514      0.0183688
1              1       0.962996      0.0365775      0.0179308      0.0200106
1              2      -0.926218       0.043641      0.0134416      0.0182343
1              3       0.918239      0.0502021      0.0132038      0.0178713
